"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","线上报警记录","查询当前报警记录分页列表","0","0","10","0","0"
"","线上报警记录","历史报警记录查询接口","0","0","10","0","0"
"","用户管理接口","获取用户列表接口","0","0","4","0","0"
"","用户管理接口","删除用户接口","0","0","2","0","0"
"","首页中各种统计接口","查找摄像头总数和在线摄像头总数","0","0","1","0","0"
"","用户管理接口","新增用户接口","0","0","4","0","0"
"","首页中各种统计接口","查找当天新增摄像头数量","0","0","1","0","0"
"","首页中各种统计接口","查找盒子数量和在线数量","0","0","1","0","0"
"","用户管理接口","更新用户接口","0","0","4","0","0"
"","离线视频分析接口","上传视频的接口","0","0","1","0","0"
"","首页中各种统计接口","查找当天的报警总数","0","0","1","0","0"
